,filename,variables,clauses,SAT,time_cryptosat,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
48,randN125_K3_R4.3_L538_100.cnf,125,538,True,0.001976,SAT,15.946433,1038,33203,SAT,2.472334,365,10324,SAT,0.097669,39,359,SAT,0.208063,68,1051
49,randN125_K3_R4.3_L538_265.cnf,125,538,True,0.005538,SAT,0.993494,165,4549,SAT,10.669656,898,27070,SAT,5.877169,598,16614,SAT,1.150317,217,5625
50,randN125_K3_R4.3_L538_108.cnf,125,538,True,0.006148,SAT,8.734403,744,22868,SAT,12.162813,984,29268,SAT,0.829422,151,3700,SAT,13.410559,1097,30359
51,randN125_K3_R4.3_L538_19.cnf,125,538,True,0.011236,SAT,5.840962,552,17010,SAT,7.050829,728,21792,SAT,22.954859,1336,39586,SAT,4.771158,548,15155
52,randN125_K3_R4.3_L538_155.cnf,125,538,True,0.002141,SAT,0.641923,112,3503,SAT,33.114968,1756,55457,SAT,0.506998,121,2537,SAT,12.524677,1070,29434
53,randN125_K3_R4.3_L538_23.cnf,125,538,True,0.001648,SAT,1.896333,265,7851,SAT,5.730087,567,17462,SAT,4.880179,513,14417,SAT,0.112933,58,583
54,randN125_K3_R4.3_L538_219.cnf,125,538,True,0.000624,SAT,14.539796,977,31380,SAT,1.350099,220,6886,SAT,4.55685,544,14601,SAT,39.438766,1956,57150
55,randN125_K3_R4.3_L538_13.cnf,125,538,True,0.000203,SAT,6.350993,588,18497,SAT,4.828437,574,17681,SAT,9.064265,815,23349,SAT,11.128227,997,27257
56,randN125_K3_R4.3_L538_174.cnf,125,538,True,0.001202,SAT,4.451908,473,14400,SAT,10.318487,819,25239,SAT,6.751182,641,18157,SAT,12.669809,1097,29961
57,randN125_K3_R4.3_L538_182.cnf,125,538,True,0.003764,SAT,3.67859,387,11942,SAT,3.211066,400,12685,SAT,9.470075,782,23171,SAT,0.25137,80,1330
58,randN125_K3_R4.3_L538_193.cnf,125,538,True,0.001561,SAT,5.138414,525,16019,SAT,4.792976,538,16955,SAT,0.688998,148,3478,SAT,12.512736,1120,28515
